target,method,normal_stress_mpa,rmse,mae,r2,train_epoch,train_loss,device
shear_stress_mpa,ShearPathNet,1.0,0.07563795730050822,0.04347937920410818,0.5383348279097109,1800,0.00019253302889410406,cuda
shear_stress_mpa,ShearPathNet,2.0,0.08228663460495636,0.0401977127558762,0.7638316164944872,1800,0.00019253302889410406,cuda
shear_stress_mpa,ShearPathNet,3.0,0.11509767283986325,0.04300821930562103,0.8225561973171417,1800,0.00019253302889410406,cuda
shear_stress_mpa,C-BB,1.0,0.21669543930352034,0.14125734960728073,-2.7891960108021743,1800,0.00019253302889410406,cuda
shear_stress_mpa,C-BB,2.0,0.28503583736864374,0.1964869581750862,-1.8337536306820472,1800,0.00019253302889410406,cuda
shear_stress_mpa,C-BB,3.0,0.43977505710996767,0.286298781227993,-1.5905318601369292,1800,0.00019253302889410406,cuda
dilation_proxy_mm,ShearPathNet,1.0,0.04968680232254395,0.016438870761470402,0.9997545288446338,1800,0.00019253302889410406,cuda
dilation_proxy_mm,ShearPathNet,2.0,0.04601148388769733,0.02240916954976143,0.999795326231045,1800,0.00019253302889410406,cuda
dilation_proxy_mm,ShearPathNet,3.0,0.03299299760216794,0.014523107112224492,0.999896017220457,1800,0.00019253302889410406,cuda
dilation_proxy_mm,C-BB,1.0,1.4021331143674054,1.0945793375846669,0.8045224607266057,1800,0.00019253302889410406,cuda
dilation_proxy_mm,C-BB,2.0,1.3095559930130658,1.0305673226337795,0.8342025478250773,1800,0.00019253302889410406,cuda
dilation_proxy_mm,C-BB,3.0,1.3368548782972425,1.0462948865198844,0.8292792139558403,1800,0.00019253302889410406,cuda
